cin,name,status,roc
L65993WB1974PLC029684,PRATAP HOLDINGS LTD,Strike Off,RoC-Kolkata
L65993WB1976PLC030804,HOMBUJA BANK LTD,Strike Off,RoC-Kolkata
L65993WB1981PLC033873,YASHRANG & CO LTD,Strike Off,RoC-Kolkata
L65993WB1982PLC034964,SAVARE TRADE ENTERPRISES LTD,Strike Off,RoC-Kolkata
L65993WB1982PLC035419,TUSHAR COMMERCIAL CO LTD,Strike Off,RoC-Kolkata
L65993WB1983PLC035988,MARVELOUS INDUSTRIES LTD,Strike Off,RoC-Kolkata
L65993WB1985PLC039514,TRANS GLOBAL ENTERPRISES LTD.,Strike Off,RoC-Kolkata
L65993WB1986PLC040591,VISHWAROOPA INVESTMENT & TRADING COMPANY LTD.,Strike Off,RoC-Kolkata
L65993WB1990PLC050109,SPORTIVE FINANCE AND INVESTMENT INDIA LTD.,Strike Off,RoC-Kolkata
L65993WB1991PLC053140,CLASSIC PORTFOLIO FUND LTD.,Strike Off,RoC-Kolkata
L65993WB1992PLC056225,SAKALER TARE FINANCE AND INVESTMENT LTD.,Strike Off,RoC-Kolkata
L65993WB1993PLC057544,BONAFIDE CREDIT & SAVINGS COMPANY LTD.,Strike Off,RoC-Kolkata
L65993WB1993PLC058854,STALLION INVESTMENT COMPANY (INDIA) LTD,Strike Off,RoC-Kolkata
L65993WB1993PLC060590,GORGEOUS LIFE GENERAL FINANCE & INVESTMENT COMPANY LTD.,Strike Off,RoC-Kolkata
L65993WB1995PLC068704,INTERNATIONAL FUND MANAGEMENT COMPANY LTD.,Strike Off,RoC-Kolkata
L65999WB1979PLC032414,UTKAL BOARD & PAPER MILLS LTD,Strike Off,RoC-Kolkata
L65999WB1988PLC043659,ISS HOLDINGS LTD,Strike Off,RoC-Kolkata
L65999WB1990PLC048798,FRONTLINE FISCAL SERVICES INDIA LTD.,Strike Off,RoC-Kolkata
L65999WB1991PLC052713,GANGA SARASWATI SAVINGS AND INVESTMENT COMPANY LTD.,Strike Off,RoC-Kolkata
L65999WB1991PLC053054,BIANNUAL GENERAL FINANCE & INVESTMENT COMPANY LTD.,Strike Off,RoC-Kolkata
L65999WB1991PLC053379,KAMANI CAPITAL SERVICES LTD,Strike Off,RoC-Kolkata
L65999WB1992PLC053989,CAP-AID FINANCE AND INVESTMENT CO. LTD.,Strike Off,RoC-Kolkata
L65999WB1993PLC057974,VICTORY FINVEST LTD.,Strike Off,RoC-Kolkata
L65999WB1993PLC058021,JANAHITH SAVINGS & CREDIT (INDIA) LTD,Strike Off,RoC-Kolkata
L65999WB1993PLC059801,PROSPEROUS CREDIT & FINANCE (INDIA) LTD.,Strike Off,RoC-Kolkata
L65999WB1993PLC060005,PRINK FINANCE & INVESTMENT COMPANY LTD.,Strike Off,RoC-Kolkata
L65999WB1993PLC061289,ITC CLASSIC FUNDS MANAGEMENT LTD.,Strike Off,RoC-Kolkata
L65999WB1994PLC066639,GKW HOLDINGS LTD.,Strike Off,RoC-Kolkata
L65999WB1995PLC071006,"SAHU INVESTMENT COMPANY LTD,",Strike Off,RoC-Kolkata
